benchmark,variant,run,success,planning_time,roadmap_nodes,path_points,path_length,point_checks,line_checks,error_type
Giant Square,BasicPRM,46,1,0.6663103000028059,252,20,48.987698143980275,11193,261,
Giant Square,BasicPRM,47,1,0.6199592000048142,252,19,48.83440043370505,11085,258,
Giant Square,BasicPRM,48,1,0.6209424000116996,252,18,46.35398396304066,11220,267,
Giant Square,BasicPRM,49,1,0.611719099979382,252,17,47.82169301490813,11072,255,
Giant Square,VisibilityPRM,0,1,0.1696049000020139,9,7,41.96009744506402,8782,474,
Giant Square,VisibilityPRM,1,1,0.15380569998524152,9,6,39.079414382294694,8138,364,
Giant Square,VisibilityPRM,2,1,0.1876394999853801,9,6,39.30198985054076,9416,351,
Giant Square,VisibilityPRM,3,1,0.17451000001165085,9,6,42.18171887912919,9061,367,
Giant Square,VisibilityPRM,4,1,0.19599149998975918,9,7,40.709788364137154,9442,364,
Giant Square,VisibilityPRM,5,1,0.18615240001236089,9,7,41.665858335544314,7902,318,
Giant Square,VisibilityPRM,6,1,0.2494730000034906,7,6,39.3039801530914,7989,357,
Giant Square,VisibilityPRM,7,1,0.22028059998410754,9,7,39.261956617770544,9443,383,
Giant Square,VisibilityPRM,8,1,0.14507589998538606,7,6,41.43402222273569,7411,236,
Giant Square,VisibilityPRM,9,1,0.15310859997407533,9,7,46.2160394875259,8294,376,
Giant Square,VisibilityPRM,10,1,0.14964300001156516,7,5,41.96819946178346,8050,299,
Giant Square,VisibilityPRM,11,1,0.20756759998039342,9,6,41.28238886209423,11325,366,
Giant Square,VisibilityPRM,12,1,0.7191067000094336,9,7,41.640708214001116,8356,331,
Giant Square,VisibilityPRM,13,1,0.20028190000448376,9,7,40.88536608189874,9994,425,
Giant Square,VisibilityPRM,14,1,0.17230320000089705,9,6,41.63501159743448,8331,383,
Giant Square,VisibilityPRM,15,1,0.16512890000012703,9,6,38.463138714356425,8458,385,
Giant Square,VisibilityPRM,16,1,0.15588699997169897,9,7,41.223863754196586,8180,344,
Giant Square,VisibilityPRM,17,1,0.1721988999925088,9,7,46.34928396473498,8661,426,
Giant Square,VisibilityPRM,18,1,0.1672653999994509,9,7,43.82790950124247,8450,418,
Giant Square,VisibilityPRM,19,1,0.1703626000089571,9,7,46.64785779748745,9232,412,
Giant Square,VisibilityPRM,20,1,0.16644760000053793,9,6,39.6941664146533,8409,414,
Giant Square,VisibilityPRM,21,1,0.2166142999776639,9,7,43.97102364364544,8196,349,
Giant Square,VisibilityPRM,22,1,0.17936709997593425,9,7,42.97364003495752,8409,407,
