benchmark,setting,initial_roadmap_size,update_roadmap_size,k_nearest,run,success,planning_time,roadmap_nodes,error_type
Fat bottleneck,baseline,10,5,8,31,1,0.01079209998715669,12,
Fat bottleneck,baseline,10,5,8,32,1,0.04391579999355599,137,
Fat bottleneck,baseline,10,5,8,33,1,0.05055409998749383,132,
Fat bottleneck,baseline,10,5,8,34,1,0.047389899991685525,120,
Fat bottleneck,baseline,10,5,8,35,1,0.6302078000153415,1482,
Fat bottleneck,baseline,10,5,8,36,0,1.0037351000064518,1888,
Fat bottleneck,baseline,10,5,8,37,1,0.022420699999202043,21,
Fat bottleneck,baseline,10,5,8,38,1,0.03066640000906773,92,
Fat bottleneck,baseline,10,5,8,39,1,0.036137200018856674,59,
Fat bottleneck,baseline,10,5,8,40,1,0.2422606000036467,835,
Fat bottleneck,baseline,10,5,8,41,1,0.1397004000027664,469,
Fat bottleneck,baseline,10,5,8,42,1,0.06155500002205372,129,
Fat bottleneck,baseline,10,5,8,43,1,0.17037820001132786,575,
Fat bottleneck,baseline,10,5,8,44,1,0.044008800003211945,97,
Fat bottleneck,baseline,10,5,8,45,1,0.26809910000883974,728,
Fat bottleneck,baseline,10,5,8,46,1,0.2136496999883093,696,
Fat bottleneck,baseline,10,5,8,47,1,0.04113050000160001,84,
Fat bottleneck,baseline,10,5,8,48,1,0.20380439999280497,781,
Fat bottleneck,baseline,10,5,8,49,1,0.018240800010971725,18,
Nested Trap,very_small,3,2,3,0,1,0.142275599995628,574,
Nested Trap,very_small,3,2,3,1,0,1.002206600009231,1933,
Nested Trap,very_small,3,2,3,2,1,0.09492380000301637,342,
Nested Trap,very_small,3,2,3,3,1,0.15819670000928454,552,
Nested Trap,very_small,3,2,3,4,1,0.8582001999893691,1590,
Nested Trap,very_small,3,2,3,5,1,0.020669399993494153,44,
Nested Trap,very_small,3,2,3,6,0,1.0007627000159118,1760,
Nested Trap,very_small,3,2,3,7,1,0.11410499998601153,441,
Nested Trap,very_small,3,2,3,8,1,0.4312206000031438,1177,
Nested Trap,very_small,3,2,3,9,1,0.20438609999837354,736,
Nested Trap,very_small,3,2,3,10,1,0.053698600007919595,202,
Nested Trap,very_small,3,2,3,11,1,0.0795436000043992,220,
Nested Trap,very_small,3,2,3,12,0,1.0015314999909606,1875,
Nested Trap,very_small,3,2,3,13,1,0.23126880000927486,653,
Nested Trap,very_small,3,2,3,14,1,0.07951100001810119,305,
Nested Trap,very_small,3,2,3,15,1,0.6548264999873936,1345,
Nested Trap,very_small,3,2,3,16,1,0.24339489999692887,671,
Nested Trap,very_small,3,2,3,17,1,0.20848540001315996,690,
Nested Trap,very_small,3,2,3,18,1,0.1929775000025984,582,
Nested Trap,very_small,3,2,3,19,1,0.13846590000321157,518,
Nested Trap,very_small,3,2,3,20,1,0.06129789998522028,140,
Nested Trap,very_small,3,2,3,21,1,0.039052900014212355,105,
Nested Trap,very_small,3,2,3,22,0,1.0015980000025593,1592,
Nested Trap,very_small,3,2,3,23,1,0.12366090001887642,348,
Nested Trap,very_small,3,2,3,24,1,0.13962020000326447,423,
Nested Trap,very_small,3,2,3,25,1,0.10265690000960603,328,
Nested Trap,very_small,3,2,3,26,1,0.23757310002110898,669,
